Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000022	YAL024C	LTE1	HOS3	YPL116W	S000006037	genetic
S000000022	YAL024C	LTE1	HOS3	YPL116W	S000006037	genetic
S000000022	YAL024C	LTE1	HOS4	YIL112W	S000001374	genetic
S000000022	YAL024C	LTE1	HSC82	YMR186W	S000004798	genetic
S000000022	YAL024C	LTE1	HSE1	YHL002W	S000000994	genetic
S000000022	YAL024C	LTE1	HSF1	YGL073W	S000003041	genetic
S000000022	YAL024C	LTE1	HSL1	YKL101W	S000001584	genetic
S000000022	YAL024C	LTE1	HSL1	YKL101W	S000001584	genetic
S000000022	YAL024C	LTE1	HSL1	YKL101W	S000001584	genetic
S000000022	YAL024C	LTE1	HSL1	YKL101W	S000001584	genetic
S000000022	YAL024C	LTE1	HSL1	YKL101W	S000001584	genetic
S000000022	YAL024C	LTE1	HSL7	YBR133C	S000000337	genetic
S000000022	YAL024C	LTE1	HSP60	YLR259C	S000004249	physical
S000000022	YAL024C	LTE1	HSP82	YPL240C	S000006161	genetic
S000000022	YAL024C	LTE1	HSP82	YPL240C	S000006161	genetic
S000000022	YAL024C	LTE1	HST1	YOL068C	S000005429	genetic
S000000022	YAL024C	LTE1	HST1	YOL068C	S000005429	genetic
S000000022	YAL024C	LTE1	HTD2	YHR067W	S000001109	genetic
S000000022	YAL024C	LTE1	HUL4	YJR036C	S000003797	genetic
S000000022	YAL024C	LTE1	HYP2	YEL034W	S000000760	genetic
S000000022	YAL024C	LTE1	ILV6	YCL009C	S000000515	physical
S000000022	YAL024C	LTE1	INN1	YNL152W	S000005096	genetic
S000000022	YAL024C	LTE1	IPK1	YDR315C	S000002723	genetic
S000000022	YAL024C	LTE1	IPK1	YDR315C	S000002723	genetic
S000000022	YAL024C	LTE1	IPK1	YDR315C	S000002723	genetic
S000000022	YAL024C	LTE1	IPL1	YPL209C	S000006130	genetic
S000000022	YAL024C	LTE1	IRA1	YBR140C	S000000344	genetic
S000000022	YAL024C	LTE1	IRR1	YIL026C	S000001288	genetic
S000000022	YAL024C	LTE1	ISW1	YBR245C	S000000449	physical
S000000022	YAL024C	LTE1	ISW2	YOR304W	S000005831	genetic
S000000022	YAL024C	LTE1	ISW2	YOR304W	S000005831	genetic
S000000022	YAL024C	LTE1	ISY1	YJR050W	S000003811	genetic
S000000022	YAL024C	LTE1	ITC1	YGL133W	S000003101	genetic
S000000022	YAL024C	LTE1	ITC1	YGL133W	S000003101	genetic
S000000022	YAL024C	LTE1	ITR1	YDR497C	S000002905	genetic
S000000022	YAL024C	LTE1	IWR1	YDL115C	S000002273	genetic
S000000022	YAL024C	LTE1	IXR1	YKL032C	S000001515	genetic
S000000022	YAL024C	LTE1	JJJ3	YJR097W	S000003858	genetic
S000000022	YAL024C	LTE1	JJJ3	YJR097W	S000003858	genetic
S000000022	YAL024C	LTE1	JNM1	YMR294W	S000004908	genetic
S000000022	YAL024C	LTE1	JNM1	YMR294W	S000004908	genetic
S000000022	YAL024C	LTE1	JNM1	YMR294W	S000004908	genetic
S000000022	YAL024C	LTE1	KAE1	YKR038C	S000001746	genetic
S000000022	YAL024C	LTE1	KAP123	YER110C	S000000912	genetic
S000000022	YAL024C	LTE1	KAP95	YLR347C	S000004339	genetic
S000000022	YAL024C	LTE1	KAR3	YPR141C	S000006345	genetic
S000000022	YAL024C	LTE1	KAR3	YPR141C	S000006345	genetic
S000000022	YAL024C	LTE1	KAR9	YPL269W	S000006190	genetic
S000000022	YAL024C	LTE1	KAR9	YPL269W	S000006190	genetic
S000000022	YAL024C	LTE1	KAR9	YPL269W	S000006190	genetic
S000000022	YAL024C	LTE1	KCH1	YJR054W	S000003815	genetic
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	genetic
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL1	YHR158C	S000001201	physical
S000000022	YAL024C	LTE1	KEL2	YGR238C	S000003470	genetic
S000000022	YAL024C	LTE1	KEL2	YGR238C	S000003470	physical
S000000022	YAL024C	LTE1	KEL2	YGR238C	S000003470	physical
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
S000000022	YAL024C	LTE1	KIN4	YOR233W	S000005759	genetic
